num_healthy_workers,num_in_flight_async_sample_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_env_steps_sampled_lifetime,num_agent_steps_sampled_lifetime,num_steps_trained_this_iter,agent_timesteps_total,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,env_runners/episode_reward_max,env_runners/episode_reward_min,env_runners/episode_reward_mean,env_runners/episode_len_mean,env_runners/episodes_timesteps_total,env_runners/num_faulty_episodes,env_runners/num_episodes,env_runners/episode_return_max,env_runners/episode_return_min,env_runners/episode_return_mean,env_runners/episodes_this_iter,timers/training_iteration_time_ms,timers/restore_workers_time_ms,timers/training_step_time_ms,timers/sample_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,env_runners/hist_stats/episode_reward,env_runners/hist_stats/episode_lengths
4,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,1,1f6bb_00000,2024-08-12_16-58-34,1723456714,120.45012402534485,120.45012402534485,36432,Phats-MacBook-Pro-2.local,127.0.0.1,120.45012402534485,1,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,60230.74,0.022,60230.669,60230.655,0,0,0,0,39.120348837209306,63.54476744186047,[],[]
4,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,2,1f6bb_00000,2024-08-12_17-00-34,1723456834,120.45931601524353,240.90944004058838,36432,Phats-MacBook-Pro-2.local,127.0.0.1,240.90944004058838,2,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,60235.445,0.02,60235.265,60235.185,0,0,0,0,39.96374269005848,64.21228070175438,[],[]
4,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,3,1f6bb_00000,2024-08-12_17-02-35,1723456955,120.46854877471924,361.3779888153076,36432,Phats-MacBook-Pro-2.local,127.0.0.1,361.3779888153076,3,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,60237.432,0.05,60237.229,60237.162,0,0,0,0,37.69649122807017,64.14093567251462,[],[]
4,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,4,1f6bb_00000,2024-08-12_17-04-35,1723457075,120.42590188980103,481.80389070510864,36432,Phats-MacBook-Pro-2.local,127.0.0.1,481.80389070510864,4,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,60232.792,0.048,60232.622,60232.569,0,0,0,0,42.19239766081871,64.22573099415204,[],[]
4,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,5,1f6bb_00000,2024-08-12_17-06-36,1723457196,120.89235091209412,602.6962416172028,36432,Phats-MacBook-Pro-2.local,127.0.0.1,602.6962416172028,5,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,60283.69,0.041,60283.542,60283.495,0,0,0,0,38.957309941520464,64.9690058479532,[],[]
4,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,6,1f6bb_00000,2024-08-12_17-08-37,1723457317,120.4527440071106,723.1489856243134,36432,Phats-MacBook-Pro-2.local,127.0.0.1,723.1489856243134,6,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,60273.949,0.037,60273.82,60273.779,0,0,0,0,42.191228070175434,66.3093567251462,[],[]
4,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,7,1f6bb_00000,2024-08-12_17-10-37,1723457437,120.4538311958313,843.6028168201447,36432,Phats-MacBook-Pro-2.local,127.0.0.1,843.6028168201447,7,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,60265.456,0.034,60265.34,60265.303,0,0,0,0,40.868421052631575,65.90116959064326,[],[]
4,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,8,1f6bb_00000,2024-08-12_17-12-38,1723457558,120.49545502662659,964.0982718467712,36432,Phats-MacBook-Pro-2.local,127.0.0.1,964.0982718467712,8,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,60259.485,0.032,60259.378,60259.343,0,0,0,0,40.88654970760234,65.87134502923976,[],[]
4,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,9,1f6bb_00000,2024-08-12_17-14-38,1723457678,120.65708518028259,1084.7553570270538,36432,Phats-MacBook-Pro-2.local,127.0.0.1,1084.7553570270538,9,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,60279.762,0.031,60279.662,60279.631,0,0,0,0,43.93081395348837,67.00406976744186,[],[]
4,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,10,1f6bb_00000,2024-08-12_17-16-39,1723457799,120.4288740158081,1205.184231042862,36432,Phats-MacBook-Pro-2.local,127.0.0.1,1205.184231042862,10,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,60273.054,0.03,60272.96,60272.93,0,0,0,0,41.65146198830409,66.87485380116958,[],[]
4,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,11,1f6bb_00000,2024-08-12_17-18-39,1723457919,120.42317581176758,1325.6074068546295,36432,Phats-MacBook-Pro-2.local,127.0.0.1,1325.6074068546295,11,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,60273.036,0.029,60272.943,60272.914,0,0,0,0,39.66198830409357,66.97076023391814,[],[]
4,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,12,1f6bb_00000,2024-08-12_17-20-40,1723458040,120.44158983230591,1446.0489966869354,36432,Phats-MacBook-Pro-2.local,127.0.0.1,1446.0489966869354,12,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,60271.124,0.029,60271.057,60271.041,0,0,0,0,42.271929824561404,67.493567251462,[],[]
4,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,13,1f6bb_00000,2024-08-12_17-22-40,1723458160,120.425705909729,1566.4747025966644,36432,Phats-MacBook-Pro-2.local,127.0.0.1,1566.4747025966644,13,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,60268.425,0.019,60268.378,60268.366,0,0,0,0,43.47368421052631,67.2672514619883,[],[]
4,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,14,1f6bb_00000,2024-08-12_17-24-41,1723458281,120.44099402427673,1686.9156966209412,36432,Phats-MacBook-Pro-2.local,127.0.0.1,1686.9156966209412,14,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,60267.569,0.016,60267.526,60267.514,0,0,0,0,45.402923976608186,65.8578947368421,[],[]
4,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,15,1f6bb_00000,2024-08-12_17-26-41,1723458401,120.43691372871399,1807.3526103496552,36432,Phats-MacBook-Pro-2.local,127.0.0.1,1807.3526103496552,15,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,60240.035,0.024,60239.976,60239.958,0,0,0,0,37.586627906976744,65.11627906976746,[],[]
4,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,16,1f6bb_00000,2024-08-12_17-28-41,1723458521,120.42163610458374,1927.774246454239,36432,Phats-MacBook-Pro-2.local,127.0.0.1,1927.774246454239,16,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,60239.169,0.023,60239.111,60239.093,0,0,0,0,38.012280701754385,65.75380116959064,[],[]
4,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,17,1f6bb_00000,2024-08-12_17-30-42,1723458642,120.43453907966614,2048.208785533905,36432,Phats-MacBook-Pro-2.local,127.0.0.1,2048.208785533905,17,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,60239.911,0.024,60239.852,60239.834,0,0,0,0,38.57543859649123,66.01169590643275,[],[]
4,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,18,1f6bb_00000,2024-08-12_17-32-42,1723458762,120.45319485664368,2168.6619803905487,36432,Phats-MacBook-Pro-2.local,127.0.0.1,2168.6619803905487,18,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,60240.737,0.023,60240.679,60240.662,0,0,0,0,37.80409356725146,65.88888888888891,[],[]
4,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,19,1f6bb_00000,2024-08-12_17-34-43,1723458883,120.571604013443,2289.2335844039917,36432,Phats-MacBook-Pro-2.local,127.0.0.1,2289.2335844039917,19,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,60219.086,0.023,60219.029,60219.012,0,0,0,0,39.42046783625731,66.22280701754387,[],[]
4,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,20,1f6bb_00000,2024-08-12_17-36-44,1723459004,120.88566589355469,2410.1192502975464,36432,Phats-MacBook-Pro-2.local,127.0.0.1,2410.1192502975464,20,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,60242.551,0.022,60242.495,60242.479,0,0,0,0,40.05146198830409,66.45204678362573,[],[]
4,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,21,1f6bb_00000,2024-08-12_17-38-45,1723459125,120.84087705612183,2530.960127353668,36432,Phats-MacBook-Pro-2.local,127.0.0.1,2530.960127353668,21,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,60262.338,0.022,60262.284,60262.268,0,0,0,0,40.39766081871345,66.54912280701755,[],[]
4,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,22,1f6bb_00000,2024-08-12_17-40-45,1723459245,120.44089102745056,2651.401018381119,36432,Phats-MacBook-Pro-2.local,127.0.0.1,2651.401018381119,22,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,60262.74,0.022,60262.687,60262.67,0,0,0,0,40.85263157894737,66.84035087719298,[],[]
4,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,23,1f6bb_00000,2024-08-12_17-42-46,1723459366,120.43921685218811,2771.840235233307,36432,Phats-MacBook-Pro-2.local,127.0.0.1,2771.840235233307,23,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,60262.743,0.022,60262.69,60262.673,0,0,0,0,42.01744186046512,66.40232558139536,[],[]
4,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,24,1f6bb_00000,2024-08-12_17-44-46,1723459486,120.44002914428711,2892.280264377594,36432,Phats-MacBook-Pro-2.local,127.0.0.1,2892.280264377594,24,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,60263.971,0.022,60263.918,60263.901,0,0,0,0,38.15672514619883,64.7280701754386,[],[]
4,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,25,1f6bb_00000,2024-08-12_17-46-46,1723459606,120.42295575141907,3012.703220129013,36432,Phats-MacBook-Pro-2.local,127.0.0.1,3012.703220129013,25,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,60262.983,0.014,60262.949,60262.939,0,0,0,0,38.36900584795322,64.83742690058479,[],[]
4,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,26,1f6bb_00000,2024-08-12_17-48-47,1723459727,120.85575294494629,3133.5589730739594,36432,Phats-MacBook-Pro-2.local,127.0.0.1,3133.5589730739594,26,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,60282.684,0.014,60282.65,60282.64,0,0,0,0,38.72397660818713,65.37192982456139,[],[]
4,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,27,1f6bb_00000,2024-08-12_17-50-48,1723459848,120.84905409812927,3254.4080271720886,36432,Phats-MacBook-Pro-2.local,127.0.0.1,3254.4080271720886,27,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,60301.07,0.017,60301.034,60301.024,0,0,0,0,38.07836257309941,65.51111111111112,[],[]
4,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,28,1f6bb_00000,2024-08-12_17-52-49,1723459969,120.85054183006287,3375.2585690021515,36432,Phats-MacBook-Pro-2.local,127.0.0.1,3375.2585690021515,28,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,60319.567,0.017,60319.531,60319.522,0,0,0,0,39.740935672514624,65.85087719298245,[],[]
4,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,29,1f6bb_00000,2024-08-12_17-54-50,1723460090,120.61002492904663,3495.868593931198,36432,Phats-MacBook-Pro-2.local,127.0.0.1,3495.868593931198,29,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,60336.917,0.017,60336.88,60336.87,0,0,0,0,41.44561403508772,66.45438596491229,[],[]
4,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,30,1f6bb_00000,2024-08-12_17-56-50,1723460210,120.43925285339355,3616.3078467845917,36432,Phats-MacBook-Pro-2.local,127.0.0.1,3616.3078467845917,30,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,60313.388,0.017,60313.35,60313.34,0,0,0,0,40.23255813953488,65.72093023255815,[],[]
4,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,31,1f6bb_00000,2024-08-12_17-58-51,1723460331,120.4390549659729,3736.7469017505646,36432,Phats-MacBook-Pro-2.local,127.0.0.1,3736.7469017505646,31,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,60293.467,0.017,60293.429,60293.419,0,0,0,0,38.1578947368421,63.46491228070175,[],[]
4,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,32,1f6bb_00000,2024-08-12_18-00-51,1723460451,120.43373107910156,3857.180632829666,36432,Phats-MacBook-Pro-2.local,127.0.0.1,3857.180632829666,32,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,60293.262,0.018,60293.223,60293.207,0,0,0,0,35.78011695906433,62.890643274853794,[],[]
4,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,33,1f6bb_00000,2024-08-12_18-02-52,1723460572,120.57580399513245,3977.7564368247986,36432,Phats-MacBook-Pro-2.local,127.0.0.1,3977.7564368247986,33,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,60291.897,0.018,60291.858,60291.841,0,0,0,0,35.9578947368421,63.39473684210526,[],[]
4,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,34,1f6bb_00000,2024-08-12_18-04-52,1723460692,120.80781197547913,4098.564248800278,36432,Phats-MacBook-Pro-2.local,127.0.0.1,4098.564248800278,34,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,60310.436,0.018,60310.397,60310.38,0,0,0,0,36.30233918128654,63.822807017543866,[],[]
4,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,35,1f6bb_00000,2024-08-12_18-06-53,1723460813,120.75947499275208,4219.32372379303,36432,Phats-MacBook-Pro-2.local,127.0.0.1,4219.32372379303,35,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,60327.034,0.018,60326.994,60326.978,0,0,0,0,35.60175438596491,64.28479532163743,[],[]
4,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,36,1f6bb_00000,2024-08-12_18-08-54,1723460934,120.76481008529663,4340.088533878326,36432,Phats-MacBook-Pro-2.local,127.0.0.1,4340.088533878326,36,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,60326.594,0.018,60326.555,60326.538,0,0,0,0,37.06686046511628,64.85058139534884,[],[]
4,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,37,1f6bb_00000,2024-08-12_18-10-54,1723461054,120.42669701576233,4460.515230894089,36432,Phats-MacBook-Pro-2.local,127.0.0.1,4460.515230894089,37,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,60307.037,0.015,60307.0,60306.984,0,0,0,0,49.73391812865496,64.6391812865497,[],[]
4,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,38,1f6bb_00000,2024-08-12_18-12-55,1723461175,120.42994689941406,4580.945177793503,36432,Phats-MacBook-Pro-2.local,127.0.0.1,4580.945177793503,38,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,60287.626,0.016,60287.588,60287.571,0,0,0,0,50.412865497076034,65.1280701754386,[],[]
4,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,39,1f6bb_00000,2024-08-12_18-14-55,1723461295,120.42281985282898,4701.367997646332,36432,Phats-MacBook-Pro-2.local,127.0.0.1,4701.367997646332,39,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,60268.853,0.016,60268.817,60268.8,0,0,0,0,47.26140350877192,64.78070175438596,[],[]
4,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,40,1f6bb_00000,2024-08-12_18-16-56,1723461416,120.43292903900146,4821.800926685333,36432,Phats-MacBook-Pro-2.local,127.0.0.1,4821.800926685333,40,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,60268.807,0.016,60268.77,60268.753,0,0,0,0,46.90350877192983,65.0923976608187,[],[]
4,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,41,1f6bb_00000,2024-08-12_18-18-56,1723461536,120.42879009246826,4942.2297167778015,36432,Phats-MacBook-Pro-2.local,127.0.0.1,4942.2297167778015,41,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,60266.795,0.016,60266.758,60266.741,0,0,0,0,46.66608187134503,65.50409356725146,[],[]
4,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,42,1f6bb_00000,2024-08-12_19-00-21,1723464021,2485.121106863022,7427.350823640823,36432,Phats-MacBook-Pro-2.local,127.0.0.1,7427.350823640823,42,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,60278.915,0.015,60278.879,60278.868,0,0,0,0,55.33391812865497,65.34912280701755,[],[]
4,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,43,1f6bb_00000,2024-08-12_20-21-37,1723468897,4875.483763933182,12302.834587574005,36432,Phats-MacBook-Pro-2.local,127.0.0.1,12302.834587574005,43,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,152782.157,0.015,152782.119,152782.106,0,0,0,0,63.24437869822485,66.52307692307691,[],[]
4,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,44,1f6bb_00000,2024-08-12_20-23-37,1723469017,120.4030430316925,12423.237630605698,36432,Phats-MacBook-Pro-2.local,127.0.0.1,12423.237630605698,44,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,152761.317,0.025,152761.253,152761.235,0,0,0,0,51.81637426900585,66.80818713450293,[],[]
4,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,45,1f6bb_00000,2024-08-12_20-25-38,1723469138,120.41417407989502,12543.651804685593,36432,Phats-MacBook-Pro-2.local,127.0.0.1,12543.651804685593,45,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,152746.355,0.027,152746.282,152746.26,0,0,0,0,52.2156976744186,68.23081395348838,[],[]
4,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,46,1f6bb_00000,2024-08-12_20-27-38,1723469258,120.41433382034302,12664.066138505936,36432,Phats-MacBook-Pro-2.local,127.0.0.1,12664.066138505936,46,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,152726.783,0.027,152726.709,152726.687,0,0,0,0,51.69649122807018,68.21111111111111,[],[]
4,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,47,1f6bb_00000,2024-08-12_20-29-39,1723469379,120.44107007980347,12784.50720858574,36432,Phats-MacBook-Pro-2.local,127.0.0.1,12784.50720858574,47,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,152728.015,0.028,152727.941,152727.919,0,0,0,0,54.85847953216374,67.259649122807,[],[]
